2025-09-30 17:55:55 | ERROR | nse_data_fetcher:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/allIndices (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb9655513d0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:55:55 | INFO | nse_data_fetcher:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:55:55 | ERROR | nse_data_fetcher:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965552270>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:55:55 | WARNING | nse_data_fetcher:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:55:57 | ERROR | nse_data_fetcher:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/allIndices (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb9655525d0>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:55:57 | INFO | nse_data_fetcher:_refresh_cookies:78 | Refreshing NSE session cookies
2025-09-30 17:55:57 | ERROR | nse_data_fetcher:_refresh_cookies:98 | Error refreshing cookies: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /option-chain (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965552990>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:55:57 | WARNING | nse_data_fetcher:_make_request:116 | Failed to refresh cookies, attempting request anyway
2025-09-30 17:56:01 | ERROR | nse_data_fetcher:_make_request:145 | Request error: HTTPSConnectionPool(host='www.nseindia.com', port=443): Max retries exceeded with url: /api/allIndices (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fb965552d50>: Failed to resolve 'www.nseindia.com' ([Errno -5] No address associated with hostname)"))
2025-09-30 17:56:01 | ERROR | nse_data_fetcher:_make_request:151 | Failed to fetch data after 3 attempts
